
                    V                          LATITUDE     LONGITUDE   OBSTACLE             AGL  AMSL  LT ACC MAR  FAA
ACTION    OAS#      S CT ST CITY             DEG MIN SEC  DEG MIN SEC   TYPE                  HT    HT     H V IND STUDY          JDATE
----------------------------------------------------------------------------------------------------------------------------------------
ADD       01-074964 U US AL MOBILE           30 43 11.18N 088 21 26.42W TOWER              1 00199 00377 N 1 A N 2024ASO21299OE A2026156 
ADD       01-074965 U US AL BOAZ             34 08 56.67N 086 04 51.40W UTILITY POLE       1 00061 01138 N 4 D N 2023ASO13089OE A2026156 
ADD       01-074966 U US AL BOAZ             34 08 51.49N 086 04 44.97W UTILITY POLE       1 00057 01139 N 4 D N 2023ASO13086OE A2026156 
ADD       01-074967 U US AL BOAZ             34 09 09.65N 086 05 07.64W UTILITY POLE       1 00061 01121 N 4 D N 2023ASO13092OE A2026156 
ADD       01-074968 U US AL BOAZ             34 13 54.27N 086 10 38.21W UTILITY POLE       1 00061 01136 N 4 D N 2023ASO13098OE A2026156 
ADD       01-074969 U US AL BOAZ             34 09 28.49N 086 05 31.28W UTILITY POLE       1 00079 01124 N 4 D N 2023ASO13095OE A2026156 
ADD       01-074970 U US AL AXIS             30 57 39.60N 088 01 46.00W TOWER              1 00190 00231 N 4 D N 2024ASO21472OE A2026156 
ADD       01-074972 U US AL MOBILE           30 34 31.63N 088 08 22.61W TOWER              1 00189 00200 N 1 A N 2024ASO20626OE A2026156 
ADD       01-074973 U US AL BIRMINGHAM       33 34 35.07N 086 55 25.65W TOWER              1 00161 00833 N 4 D N 2024ASO21884OE A2026156 
ADD       01-074979 U US AL SELMA            32 26 05.28N 087 01 24.06W TOWER              1 00157 00312 N 4 D N 2024ASO23027OE A2026156 
ADD       01-074980 U US AL COLUMBIA         33 10 38.39N 086 37 06.04W TOWER              1 00195 00702 N 1 A N 2023ASO04588OE A2026156 
ADD       01-074984 U US AL GADSDEN          34 04 04.13N 085 56 55.27W TOWER              1 00155 01229 N 4 D N 2024ASO23229OE A2026157 
ADD       01-074986 U US AL VINEMONT         34 18 13.03N 086 46 32.51W TOWER              1 00161 01231 N 4 D N 2024ASO23583OE A2026157 
ADD       01-074992 U US AL GORDON           31 07 28.07N 085 06 15.47W TOWER              1 00166 00327 N 4 D N 2025ASO00882OE A2026157 
ADD       01-074993 U US AL HUNTSVILLE       34 47 40.24N 086 31 44.83W TOWER              1 00100 00874 D 4 D N 2025ASO02289OE A2026157 
ADD       01-075953 U US AL BIRMINGHAM       32 18 24.00N 086 55 28.00W TOWER              1 00193 00427 N 4 D N 2025ASO02629OE A2026157 
ADD       01-075955 U US AL GURLY            34 40 03.50N 086 20 30.20W TOWER              1 00197 01695 N 4 D N 2025ASO03127OE A2026157 
ADD       01-075967 U US AL COLUMBIANA       33 11 23.30N 086 37 36.50W TOWER              1 00195 00805 M 4 D N 2025ASO03805OE A2026158 
OLD       01-086159 O US AL SCOTTSBORO       34 53 30.83N 086 05 44.01W TOWER              1 00265 02026 D 1 A N 2025ASO11956OE A2025318 
NEW       01-086159 O US AL SCOTTSBORO       34 53 30.83N 086 05 44.01W TOWER              1 00260 02021 D 1 A N 2026ASO01804OE C2026147 
ADD       01-086302 U US AL CHILDERSBURG     33 11 14.40N 086 28 13.32W TOWER              1 00310 00843 D 1 A N 2025ASO19554OE A2026122 
ADD       01-086303 U US AL EVERGREEN        31 15 50.73N 086 46 15.55W TOWER              1 00310 00465 D 1 A N 2025ASO13305OE A2026122 
ADD       01-086304 O US AL SILVERHILL       30 30 31.75N 087 45 59.32W TOWER              1 00260 00380 D 1 A N 2024ASO15152OE A2026113 
ADD       01-086307 O US AL FLAT ROCK        34 45 40.73N 085 36 06.34W TOWER              1 00320 01922 D 2 C N 2024ASO17488OE A2026107 
ADD       01-086308 O US AL RUSSELLVILLE     34 33 26.23N 087 35 11.54W TOWER              1 00260 00869 D 1 A N 2025ASO23233OE A2026106 
ADD       01-086309 O US AL BREWTON          31 08 51.08N 086 54 27.85W TOWER              1 00310 00514 D 1 A N 2025ASO11131OE A2026113 
ADD       01-086310 U US AL TUSCUMBIA        34 40 47.88N 087 35 26.13W TOWER              1 00265 00818 D 1 A N 2025ASO11549OE A2026122 
ADD       01-086311 U US AL LOXLEY           30 37 38.10N 087 39 11.90W TOWER              1 00320 00459 D 4 D N 2025ASO01131OE A2026122 
ADD       01-086313 O US AL HALEYVILLE       34 07 54.23N 087 43 03.96W TOWER              1 00310 01095 D 1 A N 2025ASO15666OE A2026126 
ADD       01-086314 U US AL FORT PAYNE       34 28 11.30N 085 41 51.60W TOWER              1 00160 01081 D 4 D N 2025ASO01711OE A2026124 
ADD       01-086318 O US AL GREENVILLE       31 53 30.24N 086 28 50.98W TOWER              1 00310 00775 D 1 A N 2026ASO01738OE A2026147 
ADD       01-086319 O US AL SELMA            32 29 02.52N 087 07 45.31W TOWER              1 00265 00400 D 1 A N 2026ASO02581OE A2026147 
ADD       01-086322 O US AL CULLMAN          34 18 41.50N 086 58 05.73W TOWER              1 00270 01361 D 4 D N 2026ASO02772OE A2026147 
ADD       01-086326 U US AL MONTGOMERY       32 21 55.78N 086 22 14.99W BRIDGE             1 00004 00161 U 4 D U 2026ASO05562OE A2026135 
ADD       01-086328 U US AL VALLEY           32 46 43.92N 085 14 16.74W TOWER              1 00215 00941 D 1 A N 2025ASO14880OE A2026135 
ADD       01-086331 U US AL FLORALA          31 02 09.96N 086 19 03.68W POLE               1 00038 00295 U 4 D U 2026ASO08557OE A2026139 
ADD       01-086332 U US AL FOLEY            30 21 40.32N 087 43 00.23W TOWER              1 00320 00361 D 1 A N 2024ASO18931OE A2026141 
DISMANTLE 02-000432 O US AK FAIRBANKS        64 52 42.00N 147 40 15.00W TOWER              1 00307 00809 R 5 E M 1997AAL00041OE D2026156 
OLD       02-000575 O US AK ANCHORAGE        61 13 37.70N 149 42 51.00W TOWER              1 00189 00564 R 5 F N 2013AAL00069OE C2013151 
NEW       02-000575 O US AK ANCHORAGE        61 13 37.70N 149 42 51.00W TOWER              1 00189 00564 R 4 D N 2013AAL00069OE C2026139 
OLD       02-273265 U US AK BUCKLAND         65 58 48.49N 161 07 55.03W TOWER              1 00077 00097 N 1 A N 2016AAL00426OE A2018024 
NEW       02-273265 U US AK BUCKLAND         65 58 48.06N 161 07 55.12W TOWER              1 00077 00098 N 4 D N 2024AAL00602OE C2026155 
OLD       02-323778 U US AK HOONAH           58 06 19.54N 135 26 25.36W TOWER              1 00150 00170 N 1 A N 2021AAL00209OE A2022327 
NEW       02-323778 U US AK HOONAH           58 06 19.54N 135 26 25.36W TOWER              1 00157 00177 N 1 A N 2024AAL00609OE C2026155 
OLD       02-324326 U US AK CROOKED CREEK    61 51 50.03N 158 08 15.48W BLDG               1 00026 00232 N 4 D N 2024AAL00323OE A2024199 
NEW       02-324326 U US AK CROOKED CREEK    61 51 50.03N 158 08 15.48W BLDG               1 00026 00232 N 4 D N 2024AAL00323OE C2026158 
OLD       02-324329 U US AK STEBBINS         63 31 24.12N 162 16 56.89W BLDG               1 00029 00086 N 4 D N 2024AAL00275OE A2024213 
NEW       02-324329 U US AK STEBBINS         63 31 24.12N 162 16 56.89W BLDG               1 00029 00086 N 4 D N 2024AAL00275OE C2026158 
OLD       02-324338 U US AK NONDALTON        59 58 32.72N 154 50 34.80W BLDG               1 00029 00296 N 4 D N 2024AAL00274OE A2024234 
NEW       02-324338 U US AK NONDALTON        59 58 32.72N 154 50 34.80W BLDG               1 00029 00296 N 4 D N 2024AAL00274OE C2026158 
